Srno,TranslatedRecipeName,Cuisine,Image_URL,Price
0,Masala Karela,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Pooja_Thakur/Karela_Masala_Recipe-4_1600.jpg,328
14,Gourd Raita,Indian,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Preethi_Kitchen_Appliances_Lauki_Raita_Recipe_video-1.jpg,143
21,Kesar Mango Lassi,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/pooja/Mango_Saffron_Lassi.jpg,168
45,Dalia Pakora,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Dalia_Pakora_Broken_Wheat_Pakora_Recipe-4_1600.jpg,162
53,Tofu Pulao,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Richa_Gupta/Tofu_Masala_Rice_Indian_Style.jpg,333
57,Radish Soup,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/KarthikaKrishnan/Radish_Soup.jpg,322
65,Crunchy Ginger Capsicum Rice,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Nithya_Anantham/Ginger_Capsicum_Rice_Recipe.jpg,359
70,Elephant Yam Raita,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Neeru_Srikanth/Senai_Pachadi.jpg,230
85,Cheese Stuffed Aloo Bonda,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Lubna_Karim/Cheese_Stuffed_Aloo_Bonda.jpg,382
89,Pudina Mushroom And Soya Biryani,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/ishita74-hotmail.com/Pudina_Mushroom_Soya_Biryani_Recipe-6.jpg,225
111,Wheat Grass Shikanji,Indian,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Beverages/Wheat_Grass_Shikanji_Juice_Recipe_Lemonade-1.jpg,328
117,Cauliflower Matar Bhurji,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Karthika_Gopalakrishnan/Cauliflower_Bhurji_with_Matar.jpg,357
119,Aromatic Vegetable Pulao,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Nusrath_Jahan/Mix_vegetable_pulaopilaf_1600.jpg,283
120,Spicy Curd,Indian,https://werecipes.com/app/uploads/2015/04/masala-dahi-recipe-step-by-step.jpg,311
121,Mustard Vegetable Curry,Indian,https://www.archanaskitchen.com/images/archanaskitchen/Chefs/Chef_Vikas_Khanna/Mustard_Vegetable_Curry_Vikas_Khanna_Recipe_1600.jpg,233
122,One Pot Spicy Vegetable Pulao With Coconut Milk,Indian,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Rice/Mixed_Vegetable_Pulav_with_Coconut_Milk_South_Indian_Style_with_Spices_and_Raita_Recipe-2.jpg,359
127,Moong Dal Khichdi,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sandhya-archanaskitchen.com/Moong_Dal_Khichdi_For_Babies_And_Toddlers_Over_9_months_1600.jpg,285
132,Moon Biscuits,Indian,https://www.archanaskitchen.com/images/archanaskitchen/Dessert_Cookies/Moon_biscuits_recipe.JPG,226
134,Aloo Matar Masala Khichdi,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Aloo_Matar_Masala_Khichdi_Recipe.jpg,314
135,Rock Toast,Indian,https://www.archanaskitchen.com/images/Rock_Toast_Semolina_Bread_Toast_Recipe_Spiced_With_Green_Chilli-5.jpg,327
138,Classic Grilled Tomato Cucumber Chutney Sandwich,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Classic_Grilled_Tomato_Cucumber_Sandwich_With_Chutney_Recipe_.jpg,236
148,Royal Bread Gulab Jamun,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Salma_Godil/Royal_Bread_Gulab_Jamun_Recipe-1.jpg,142
149,Safed Achari Baingan,Indian,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Shaheen_Ali/Safed_Achari_Baigan__White_Aubergine_in_pickled_spices.jpg,311
